Gene stable ID	UniProtKB Gene Name ID	Gene name
ENSMUSG00000064336		mt-Tf
ENSMUSG00000064337		mt-Rnr1
ENSMUSG00000064338		mt-Tv
ENSMUSG00000064339		mt-Rnr2
ENSMUSG00000064340		mt-Tl1
ENSMUSG00000064341	Q4JFN6	mt-Nd1
ENSMUSG00000064341	P03888	mt-Nd1
ENSMUSG00000064342		mt-Ti
ENSMUSG00000064343		mt-Tq
ENSMUSG00000064344		mt-Tm
ENSMUSG00000064345	Q9MD59	mt-Nd2
ENSMUSG00000064345	P03893	mt-Nd2
ENSMUSG00000064346		mt-Tw
ENSMUSG00000064347		mt-Ta
ENSMUSG00000064348		mt-Tn
ENSMUSG00000064349		mt-Tc
ENSMUSG00000064350		mt-Ty
ENSMUSG00000064351	Q9MD68	mt-Co1
ENSMUSG00000064351	P00397	mt-Co1
ENSMUSG00000064352		mt-Ts1
ENSMUSG00000064353		mt-Td
ENSMUSG00000064354	Q7JCZ1	mt-Co2
ENSMUSG00000064354	P00405	mt-Co2
ENSMUSG00000064355		mt-Tk
ENSMUSG00000064356	Q7JCZ0	mt-Atp8
ENSMUSG00000064356	P03930	mt-Atp8
ENSMUSG00000064357	Q7JCY9	mt-Atp6
ENSMUSG00000064357	P00848	mt-Atp6
ENSMUSG00000064358	Q7JCX7	mt-Co3
ENSMUSG00000064358	P00416	mt-Co3
ENSMUSG00000064359		mt-Tg
ENSMUSG00000064360	Q7GIP5	mt-Nd3
ENSMUSG00000064360	P03899	mt-Nd3
ENSMUSG00000064361		mt-Tr
ENSMUSG00000065947	Q9MD77	mt-Nd4l
ENSMUSG00000065947	P03903	mt-Nd4l
ENSMUSG00000064363	Q7JCY6	mt-Nd4
ENSMUSG00000064363	P03911	mt-Nd4
ENSMUSG00000064364		mt-Th
ENSMUSG00000064365		mt-Ts2
ENSMUSG00000064366		mt-Tl2
ENSMUSG00000064367	Q9MD82	mt-Nd5
ENSMUSG00000064367	P03921	mt-Nd5
ENSMUSG00000064368	Q7JCY4	mt-Nd6
ENSMUSG00000064368	P03925	mt-Nd6
ENSMUSG00000064369		mt-Te
ENSMUSG00000064370	Q7JCZ3	mt-Cytb
ENSMUSG00000064370	P00158	mt-Cytb
ENSMUSG00000064371		mt-Tt
ENSMUSG00000064372		mt-Tp
ENSMUSG00002074970		
ENSMUSG00000094722		
ENSMUSG00000094915		
ENSMUSG00000095041		
ENSMUSG00000094741	Q8C9W1	
ENSMUSG00000095666		
ENSMUSG00000095250		
ENSMUSG00000079222		
ENSMUSG00000079800	Q3TR44	
