,cr2_Il4,cr2_Il13,cr2_Irf4,cr2_Xbp1,cr2_Gata3
ENSMUSG00000021252,2584,8135,3309,5688,3321
ENSMUSG00000007777,1915,3578,1575,1823,4743
ENSMUSG00000024442,1239,1697,3523,3492,1804
ENSMUSG00000042208,1851,7005,4595,3580,711
ENSMUSG00000020831,1061,2679,982,4124,4341
ENSMUSG00000028608,1747,3495,4618,2828,12227
ENSMUSG00000060512,4852,8508,8894,4042,4426
ENSMUSG00000022972,5044,3764,6179,8651,3286
ENSMUSG00000030663,6460,4511,9076,5965,1148
ENSMUSG00000027637,4362,5268,10506,1200,2428
ENSMUSG00000021023,3392,8780,7657,5573,4578
ENSMUSG00000039195,777,7732,10347,4206,9329
ENSMUSG00000045237,2131,6022,5128,9703,1768
ENSMUSG00000028441,6145,2598,9986,3799,7485
ENSMUSG00000037971,9196,3623,4925,4297,1095
ENSMUSG00000046999,76,2193,1938,2408,1872
ENSMUSG00000044991,5685,3911,7934,3651,6628
ENSMUSG00000040720,6460,5022,10225,4387,8236
ENSMUSG00000040591,382,1961,271,1593,997
ENSMUSG00000035171,2237,6724,7663,10110,2793
ENSMUSG00000032551,2921,10472,6803,9840,6928
ENSMUSG00000078570,5458,10137,8037,9234,9484
ENSMUSG00000045414,6802,10122,2637,5416,1157
ENSMUSG00000096537,2683,3868,1744,809,2248
ENSMUSG00000043687,5414,1167,6989,2920,264
ENSMUSG00000063320,4597,2197,6871,9858,7811
ENSMUSG00000033688,10151,8324,3011,1171,8616
ENSMUSG00000087651,1460,1939,5874,11222,2233
ENSMUSG00000026051,1290,1618,4375,791,2042
ENSMUSG00000024118,6236,3302,8145,5346,9879
ENSMUSG00000035595,4964,8456,8293,6683,3364
ENSMUSG00000050088,1356,5630,4506,3277,2512
ENSMUSG00000094690,2797,2624,948,5230,2031
ENSMUSG00000029813,2579,3625,6566,1515,10443
ENSMUSG00000029182,2118,6495,3488,10613,3502
ENSMUSG00000047150,1203,3923,308,2229,929
ENSMUSG00000095040,4812,6614,4723,9692,7661
ENSMUSG00000056508,2632,2189,6135,5694,4407
ENSMUSG00000021534,3238,3833,6535,4315,14640
ENSMUSG00000044320,2980,4436,5678,1798,3391
ENSMUSG00000018543,1284,5417,3168,7873,3233
ENSMUSG00000030030,6890,2952,11897,423,4426
ENSMUSG00000038523,3380,3313,720,3799,8332
ENSMUSG00000027973,5489,4183,6337,1794,3144
ENSMUSG00000010841,2668,7117,9025,6307,5266
ENSMUSG00000031620,1606,6241,2917,4000,806
ENSMUSG00000057816,1895,13342,7590,6772,4697
ENSMUSG00000030858,1768,1696,2852,5697,6073
ENSMUSG00000026831,8181,4357,4185,6057,1775
ENSMUSG00000008028,5474,586,7276,7145,2995
ENSMUSG00000069118,4915,3790,372,3341,1768
ENSMUSG00000028287,1277,12313,9037,3213,2001
ENSMUSG00000057047,3677,6048,6300,1975,8993
ENSMUSG00000071721,8988,7712,11616,6051,8791
ENSMUSG00000023873,1649,2382,1821,2550,5144
ENSMUSG00000021850,3015,2811,5096,7617,2133
ENSMUSG00000058925,3921,9599,4904,8583,2731
ENSMUSG00000031682,6535,3041,3404,2042,5968
ENSMUSG00000029766,1724,3508,2343,15079,1881
ENSMUSG00000020617,2383,8321,2133,698,9005
ENSMUSG00000031927,2463,2228,8659,1440,4953
ENSMUSG00000028589,1063,3782,7895,9540,2630
ENSMUSG00000079346,3261,4341,6988,1688,1958
ENSMUSG00000027886,423,2594,7063,2666,2095
ENSMUSG00000041399,2660,10347,1320,12768,5833
ENSMUSG00000054727,2484,10378,3593,5374,2917
ENSMUSG00000079666,7405,5500,5644,9474,1253
ENSMUSG00000094445,3725,2924,3928,5805,7363
ENSMUSG00000015962,1800,5285,7252,4705,10986
ENSMUSG00000031509,3167,7025,4764,10850,5063
ENSMUSG00000029320,6079,8254,6122,3882,2894
ENSMUSG00000053783,4285,4692,5742,1396,2081
ENSMUSG00000032300,2938,733,5662,2689,2081
ENSMUSG00000024729,809,6564,2133,3754,1086
ENSMUSG00000056912,3116,4109,2789,2926,1409
ENSMUSG00000031809,5004,1056,4567,3818,6158
ENSMUSG00000058935,3540,4120,8384,5937,5197
ENSMUSG00000060715,2820,4920,5323,3399,1546
ENSMUSG00000040340,4501,6491,260,4612,2406
ENSMUSG00000043629,4877,3600,8003,3658,1472
ENSMUSG00000026931,1355,3308,4579,10171,2719
ENSMUSG00000027409,8954,8120,911,5653,5377
ENSMUSG00000035085,2676,804,1584,8301,865
ENSMUSG00000059690,2597,8914,2759,5019,5006
ENSMUSG00000019797,1025,7825,5383,1821,1121
ENSMUSG00000027518,1640,2687,961,5055,761
ENSMUSG00000028451,593,3229,9013,6380,4396
ENSMUSG00000020940,814,3447,3187,2987,8670
ENSMUSG00000072473,4503,3395,4404,9972,2903
ENSMUSG00000045022,2535,3026,4139,5362,853
ENSMUSG00000078612,7413,2439,4330,1214,6867
ENSMUSG00000024728,5038,9469,4321,1300,2761
ENSMUSG00000032666,4233,7330,5868,5973,5484
ENSMUSG00000089798,3261,6505,3667,10957,3655
ENSMUSG00000033053,2195,5878,5588,4420,7995
ENSMUSG00000052075,2523,5176,11744,6282,324
ENSMUSG00000031452,9347,9991,5386,3203,5726
ENSMUSG00000044916,5218,419,2850,6170,8999
ENSMUSG00000071103,2171,5378,2955,2438,2277
ENSMUSG00000061633,948,5656,8289,7141,4023
ENSMUSG00000031847,3184,506,9291,2522,4291
ENSMUSG00000052794,1056,560,2893,1748,5029
ENSMUSG00000032894,7554,9680,5515,2764,3605
ENSMUSG00000024532,2037,9559,5922,5273,5642
ENSMUSG00000040163,3784,3758,3672,7587,1072
ENSMUSG00000029867,2691,8780,5345,5916,3066
ENSMUSG00000005983,9258,8627,776,6015,6950
ENSMUSG00000027327,1677,4977,3451,11074,4341
ENSMUSG00000019945,2558,6223,5202,7827,4752
ENSMUSG00000078593,2660,2434,5733,6534,4552
ENSMUSG00000044854,2042,5260,3633,1198,9141
ENSMUSG00000074139,2047,11822,6689,9504,7893
ENSMUSG00000024209,4136,4940,8154,2941,5325
ENSMUSG00000073598,3577,3333,2262,2740,7963
ENSMUSG00000038323,1707,3724,3329,4155,2477
ENSMUSG00000046408,3852,2861,6782,9373,1678
ENSMUSG00000021545,1387,2281,1391,4516,3212
ENSMUSG00000029883,3565,4578,1644,4722,3655
ENSMUSG00000032566,605,12514,1695,6371,1952
ENSMUSG00000031118,6460,6022,6734,6121,3635
ENSMUSG00000033029,6193,3683,929,850,2407
ENSMUSG00000090840,4328,1337,5095,1690,2680
ENSMUSG00000020286,1355,8184,1680,10451,4479
ENSMUSG00000032611,3938,6879,13396,7474,10932
ENSMUSG00000008307,6323,5653,2731,6113,2143
ENSMUSG00000063458,5888,2361,1832,2939,9405
ENSMUSG00000047129,1099,7005,4976,5463,1622
ENSMUSG00000094928,1076,7968,5811,12817,425
ENSMUSG00000029526,5603,1577,5323,4660,6722
ENSMUSG00000040822,4686,2394,5312,5035,1707
ENSMUSG00000018479,2152,4163,10285,2514,7784
ENSMUSG00000021977,5523,5923,2151,4998,4247
ENSMUSG00000071653,3680,5285,671,6879,5100
ENSMUSG00000094808,1812,4761,2304,4866,2412
ENSMUSG00000041707,7389,3496,2713,2858,5498
ENSMUSG00000056313,5541,6205,12258,2974,3435
ENSMUSG00000022507,1192,10930,9118,1506,3272
ENSMUSG00000044145,4723,2515,6590,7556,12590
ENSMUSG00000044148,3639,6627,5284,1500,2778
ENSMUSG00000054091,3261,8787,9698,1611,3341
