Human gene name	Gene name
	mt-Tf
	mt-Rnr1
	mt-Tv
	mt-Rnr2
	mt-Tl1
MT-ND1	mt-Nd1
	mt-Ti
	mt-Tq
	mt-Tm
MT-ND2	mt-Nd2
	mt-Tw
	mt-Ta
	mt-Tn
	mt-Tc
	mt-Ty
MT-CO1	mt-Co1
	mt-Ts1
	mt-Td
MT-CO2	mt-Co2
	mt-Tk
MT-ATP8	mt-Atp8
MT-ATP6	mt-Atp6
MT-CO3	mt-Co3
	mt-Tg
MT-ND3	mt-Nd3
	mt-Tr
MT-ND4L	mt-Nd4l
MT-ND4	mt-Nd4
	mt-Th
	mt-Ts2
	mt-Tl2
MT-ND5	mt-Nd5
MT-ND6	mt-Nd6
	mt-Te
MT-CYB	mt-Cytb
	mt-Tt
	mt-Tp
	
PRAMEF15	
PRAMEF9	
PRAMEF26	
PRAMEF2	
PRAMEF13	
PRAMEF8	
PRAMEF25	
PRAMEF4	
PRAMEF7	
PRAMEF27	
PRAMEF5	
PRAMEF18	
PRAMEF12	
PRAMEF20	
PRAMEF10	
PRAMEF1	
PRAMEF11	
PRAMEF6	
PRAMEF14	
PRAMEF19	
PRAMEF33	
PRAMEF17	
SP100	
	
PRAMEF15	
PRAMEF9	
PRAMEF26	
PRAMEF2	
PRAMEF13	
PRAMEF8	
PRAMEF25	
PRAMEF4	
PRAMEF7	
PRAMEF27	
PRAMEF5	
PRAMEF18	
PRAMEF12	
PRAMEF20	
PRAMEF10	
PRAMEF1	
PRAMEF11	
PRAMEF6	
PRAMEF14	
PRAMEF19	
PRAMEF33	
PRAMEF17	
PRAMEF15	
PRAMEF9	
PRAMEF26	
PRAMEF2	
PRAMEF13	
PRAMEF8	
PRAMEF25	
PRAMEF4	
PRAMEF7	
PRAMEF27	
PRAMEF5	
PRAMEF18	
PRAMEF12	
PRAMEF20	
PRAMEF10	
PRAMEF1	
PRAMEF11	
PRAMEF6	
PRAMEF14	
PRAMEF19	
PRAMEF33	
PRAMEF17	
SP110	
	
	
PRAMEF15	
PRAMEF9	
PRAMEF26	
PRAMEF2	
PRAMEF13	
PRAMEF8	
PRAMEF25	
PRAMEF4	
PRAMEF7	
PRAMEF27	
PRAMEF5	
PRAMEF18	
PRAMEF12	
PRAMEF20	
PRAMEF10	
PRAMEF1	
PRAMEF11	
PRAMEF6	
PRAMEF14	
PRAMEF19	
PRAMEF33	
PRAMEF17	
	
	
	Vmn1r186
PRAMEF15	
PRAMEF9	
PRAMEF26	
PRAMEF2	
PRAMEF13	
PRAMEF8	
PRAMEF25	
PRAMEF4	
PRAMEF7	
PRAMEF27	
PRAMEF5	
PRAMEF18	
PRAMEF12	
PRAMEF20	
PRAMEF10	
PRAMEF1	
PRAMEF11	
PRAMEF6	
PRAMEF14	
PRAMEF19	
PRAMEF33	
PRAMEF17	
	
	
	
PRAMEF15	
PRAMEF9	
PRAMEF26	
PRAMEF2	
PRAMEF13	
PRAMEF8	
PRAMEF25	
PRAMEF4	
PRAMEF7	
PRAMEF27	
PRAMEF5	
PRAMEF18	
PRAMEF12	
PRAMEF20	
PRAMEF10	
PRAMEF1	
PRAMEF11	
PRAMEF6	
PRAMEF14	
PRAMEF19	
PRAMEF33	
PRAMEF17	
	
SP110	
SP110	
	
PRAMEF15	
PRAMEF9	
PRAMEF26	
PRAMEF2	
PRAMEF13	
PRAMEF8	
PRAMEF25	
PRAMEF4	
PRAMEF7	
PRAMEF27	
PRAMEF5	
PRAMEF18	
PRAMEF12	
PRAMEF20	
PRAMEF10	
PRAMEF1	
PRAMEF11	
PRAMEF6	
PRAMEF14	
PRAMEF19	
PRAMEF33	
PRAMEF17	
PRAMEF15	
PRAMEF9	
PRAMEF26	
PRAMEF2	
PRAMEF13	
PRAMEF8	
PRAMEF25	
PRAMEF4	
PRAMEF7	
PRAMEF27	
PRAMEF5	
PRAMEF18	
PRAMEF12	
PRAMEF20	
PRAMEF10	
PRAMEF1	
PRAMEF11	
PRAMEF6	
PRAMEF14	
PRAMEF19	
PRAMEF33	
PRAMEF17	
PRAMEF15	
PRAMEF9	
PRAMEF26	
PRAMEF2	
PRAMEF13	
PRAMEF8	
PRAMEF25	
PRAMEF4	
PRAMEF7	
PRAMEF27	
PRAMEF5	
PRAMEF18	
PRAMEF12	
PRAMEF20	
PRAMEF10	
PRAMEF1	
PRAMEF11	
PRAMEF6	
PRAMEF14	
PRAMEF19	
PRAMEF33	
PRAMEF17	
SP110	
	
	
PRAMEF15	
PRAMEF9	
PRAMEF26	
PRAMEF2	
PRAMEF13	
PRAMEF8	
PRAMEF25	
PRAMEF4	
PRAMEF7	
PRAMEF27	
PRAMEF5	
PRAMEF18	
PRAMEF12	
PRAMEF20	
PRAMEF10	
PRAMEF1	
PRAMEF11	
PRAMEF6	
